County[16],Clinton percentage,Clinton Votes,Trump percentage,Trump Votes,Johnson percentage,Johnson Votes,Write-in percentage,Write-in Votes,Stein percentage,Stein Votes,Totals
Alamance,41.92%,29818,54.55%,38802,2.52%,1795,0.70%,496,0.30%,216,71127
Alexander,20.64%,3756,76.01%,13833,2.39%,435,0.83%,151,0.13%,23,18198
Alleghany,24.57%,1306,71.76%,3814,2.43%,129,1.24%,66,0.00%,0,5315
Anson,55.56%,5859,42.73%,4506,1.22%,129,0.46%,48,0.03%,3,10545
Ashe,26.07%,3500,70.12%,9413,2.47%,332,1.34%,180,0.00%,0,13425
Avery,20.48%,1689,76.35%,6298,2.01%,166,0.88%,73,0.28%,23,8249
Beaufort,36.61%,8764,60.75%,14543,1.78%,426,0.75%,180,0.10%,25,23936
Bertie,61.82%,5778,36.97%,3456,0.75%,70,0.43%,40,0.03%,3,9347
Bladen,44.38%,7021,53.80%,8511,1.33%,211,0.48%,76,0.00%,0,15819
Brunswick,34.06%,23282,62.50%,42717,2.51%,1717,0.78%,536,0.14%,96,68348
Buncombe,54.30%,75421,40.10%,55694,3.08%,4284,1.41%,1958,1.10%,1534,138891
Burke,28.91%,11251,67.42%,26238,2.54%,988,0.83%,324,0.31%,119,38920
Cabarrus,38.08%,35510,57.69%,53789,2.99%,2784,1.04%,972,0.20%,190,93245
Caldwell,23.20%,8425,73.30%,26621,2.34%,849,0.83%,302,0.34%,123,36320
Camden,25.45%,1274,70.83%,3546,2.98%,149,0.58%,29,0.16%,8,5006
Carteret,26.31%,9939,70.32%,26569,2.42%,913,0.74%,278,0.22%,82,37781
Caswell,43.28%,4792,54.44%,6027,1.93%,214,0.26%,29,0.08%,9,11071
Catawba,29.32%,21216,66.79%,48324,2.73%,1973,0.95%,685,0.21%,153,72351
Chatham,52.86%,21065,42.92%,17105,2.84%,1130,1.03%,412,0.34%,137,39849
Cherokee,20.17%,2860,76.47%,10844,2.44%,346,0.69%,98,0.23%,33,14181
Chowan,41.39%,2992,55.53%,4014,2.24%,162,0.68%,49,0.15%,11,7228
Clay,22.75%,1367,73.83%,4437,2.38%,143,0.90%,54,0.15%,9,6010
Cleveland,33.50%,14961,63.75%,28474,1.90%,850,0.68%,305,0.17%,75,44665
Columbus,38.18%,9053,60.15%,14264,1.29%,305,0.38%,91,0.00%,0,23713
Craven,37.52%,17629,58.99%,27722,2.57%,1210,0.81%,380,0.11%,50,46991
Cumberland,56.16%,71605,40.21%,51265,2.65%,3373,0.85%,1084,0.14%,179,127506
Currituck,22.99%,2913,72.33%,9163,3.80%,482,0.66%,84,0.21%,27,12669
Dare,36.81%,7323,58.43%,11626,3.47%,690,1.03%,205,0.26%,52,19896
Davidson,24.19%,18102,72.56%,54304,2.48%,1858,0.65%,484,0.12%,87,74835
Davie,24.22%,5270,71.71%,15602,2.90%,631,0.95%,206,0.22%,47,21756
Duplin,39.72%,8283,58.58%,12217,1.25%,260,0.41%,85,0.05%,11,20845
Durham,77.67%,121166,18.15%,28314,2.56%,3995,1.28%,1996,0.34%,535,156006
Edgecombe,65.19%,16224,33.20%,8261,1.14%,284,0.43%,106,0.04%,11,24886
Forsyth,52.98%,94185,42.61%,75751,3.01%,5358,1.40%,2492,0.00%,0,177786
Franklin,42.39%,12874,53.90%,16368,2.56%,777,0.97%,296,0.17%,53,30368
Gaston,32.33%,31177,64.09%,61798,2.54%,2445,0.91%,873,0.14%,138,96431
Gates,44.23%,2385,53.30%,2874,2.00%,108,0.46%,25,0.00%,0,5392
Graham,18.39%,739,78.82%,3167,1.77%,71,1.02%,41,0.00%,0,4018
Granville,47.19%,12909,49.69%,13591,2.18%,596,0.79%,215,0.15%,42,27353
Greene,44.53%,3605,54.03%,4374,1.05%,85,0.33%,27,0.05%,4,8095
Guilford,57.98%,149248,38.10%,98062,2.62%,6754,1.04%,2667,0.26%,674,257405
Halifax,62.57%,15748,35.88%,9031,1.15%,290,0.39%,98,0.00%,0,25167
Harnett,36.33%,16737,59.95%,27614,2.72%,1252,0.84%,389,0.16%,73,46065
Haywood,34.08%,10473,61.60%,18929,2.95%,905,0.99%,303,0.38%,117,30727
Henderson,34.08%,19827,61.55%,35807,2.80%,1626,1.18%,687,0.39%,227,58174
Hertford,67.84%,6910,30.42%,3099,1.31%,133,0.43%,44,0.00%,0,10186
Hoke,53.35%,9725,42.57%,7759,3.17%,577,0.77%,140,0.15%,27,18184
Hyde,41.88%,965,55.90%,1288,1.82%,42,0.35%,8,0.04%,1,2304
Iredell,29.96%,24734,66.31%,54754,2.65%,2185,0.91%,754,0.17%,140,82567
Jackson,41.15%,7564,52.80%,9706,3.99%,734,1.46%,268,0.60%,110,18382
Johnston,33.17%,28362,63.59%,54372,2.74%,2347,0.37%,314,0.13%,112,85507
Jones,40.21%,2065,57.92%,2974,1.15%,59,0.72%,37,0.00%,0,5135
Lee,41.74%,10469,54.66%,13712,2.73%,684,0.76%,191,0.11%,28,25084
Lenoir,46.45%,12091,51.41%,13381,1.52%,395,0.62%,162,0.00%,0,26029
Lincoln,24.73%,9897,71.97%,28806,2.43%,971,0.76%,305,0.11%,44,40023
Macon,27.50%,4876,68.38%,12127,2.63%,467,1.29%,228,0.20%,36,17734
Madison,34.84%,3926,60.19%,6783,2.98%,336,0.91%,103,1.07%,121,11269
Martin,48.86%,5846,49.29%,5897,1.38%,165,0.39%,47,0.08%,9,11964
McDowell,23.48%,4667,73.30%,14568,1.99%,396,1.15%,229,0.08%,15,19875
Mecklenburg,62.29%,294562,32.89%,155518,3.28%,15488,1.26%,5937,0.29%,1352,472857
Mitchell,19.71%,1596,77.59%,6282,1.70%,138,0.69%,56,0.30%,24,8096
Montgomery,35.96%,4150,61.79%,7130,1.76%,203,0.44%,51,0.05%,6,11540
Moore,33.54%,16328,62.62%,30487,2.78%,1354,0.96%,468,0.10%,50,48687
