Party,Candidate,Popular vote,Percentage,Unnamed: 4,Unnamed: 5
Republican,Donald Trump,409055,59.25%,,
Democratic,Hillary Clinton,189765,27.48%,,
Independent,Evan McMullin,46476,6.73%,,
Libertarian,Gary Johnson,28331,4.10%,,
Green,Jill Stein,8496,1.23%,,
National Constitution,Darrell L. Castle,4403,0.64%,,
Constitution,Scott Copeland,2356,0.34%,,
Reform,Roque De La Fuente,1373,0.20%,,
,Other/Write-in,178,0.03%,,
Total,,690433,100.00%,,
Source: Idaho Secretary of State Election Division New York Times,Source: Idaho Secretary of State Election Division New York Times,Source: Idaho Secretary of State Election Division New York Times,Source: Idaho Secretary of State Election Division New York Times,Source: Idaho Secretary of State Election Division New York Times,Source: Idaho Secretary of State Election Division New York Times
