Party,Party.1,Candidate,Votes,%
,Democratic,Hillary Clinton,357735,47.83%
,Republican,Donald Trump,335593,44.87%
,Libertarian,Gary Johnson,38105,5.09%
,Green,Jill Stein,14251,1.91%
,Independent,Evan McMullin (write-in),1887,0.25%
,Constitution,Darrell Castle (write-in),333,0.04%
,Independent,Laurence Kotlikoff (write-in),16,0.00%
,Independent,Cherunda Lynn Fox (write-in),7,0.00%
Invalid or blank votes,Invalid or blank votes,Invalid or blank votes,23965,3.10%[19]
Majority,Majority,Majority,22142,2.96%
Total votes,Total votes,Total votes,771892,100.00%
Turnout,Turnout,Turnout,,72.53
,Democratic win,Democratic win,Democratic win,Democratic win
