2016 United States presidential election in Pennsylvania,2016 United States presidential election in Pennsylvania,2016 United States presidential election in Pennsylvania,2016 United States presidential election in Pennsylvania,2016 United States presidential election in Pennsylvania,2016 United States presidential election in Pennsylvania,2016 United States presidential election in Pennsylvania
Party,Party.1,Candidate,Running mate,Votes,Percentage,Electoral votes
,Republican,Donald Trump,Mike Pence,2970733,48.18%,20
,Democratic,Hillary Clinton,Tim Kaine,2926441,47.46%,0
,Libertarian,Gary Johnson,William Weld,146715,2.38%,0
,Green,Jill Stein,Ajamu Baraka,49941,0.81%,0
,Constitution,Darrell Castle,Scott Bradley,21572,0.35%,0
,Others / Write-In Votes[citation needed],,,50076,0.81%,0
Totals,Totals,Totals,Totals,6165478,100.00%,20
Voter turnout (Voting age population),Voter turnout (Voting age population),Voter turnout (Voting age population),Voter turnout (Voting age population),Voter turnout (Voting age population),Voter turnout (Voting age population),60.27%
Source: Pennsylvania Department of State,Source: Pennsylvania Department of State,Source: Pennsylvania Department of State,Source: Pennsylvania Department of State,Source: Pennsylvania Department of State,Source: Pennsylvania Department of State,Source: Pennsylvania Department of State
