COUNTY,CLINTON,CLINTON,TRUMP,TRUMP,OTHERS%,OTHERS#,TOTAL
ALLEN,26.27%,1433,66.94%,3651,6.78%,370,5454
ANDERSON,20.06%,672,72.69%,2435,7.25%,243,3350
ATCHISON,30.25%,1989,61.58%,4049,8.17%,537,6575
BARBER,12.70%,286,82.15%,1850,5.15%,116,2252
BARTON,17.91%,1839,76.82%,7888,5.27%,541,10268
BOURBON,21.93%,1336,72.61%,4424,5.47%,333,6093
BROWN,21.38%,863,72.00%,2906,6.62%,267,4036
BUTLER,23.77%,6573,68.96%,19073,7.27%,2011,27657
CHASE,23.08%,316,70.78%,969,6.14%,84,1369
CHAUTAUQUA,13.30%,197,83.46%,1236,3.24%,48,1481
CHEROKEE,23.26%,2005,71.72%,6182,5.02%,433,8620
CHEYENNE,12.86%,181,83.37%,1173,3.77%,53,1407
CLARK,11.94%,120,82.09%,825,5.97%,60,1005
CLAY,17.72%,677,75.68%,2891,6.60%,252,3820
CLOUD,19.36%,761,74.27%,2919,6.36%,250,3930
COFFEY,17.87%,727,74.98%,3050,7.15%,291,4068
COMANCHE,11.76%,102,82.47%,715,5.77%,50,867
COWLEY,28.14%,3551,65.53%,8270,6.34%,800,12621
CRAWFORD,34.91%,5199,57.91%,8624,7.17%,1068,14891
DECATUR,12.26%,178,83.33%,1210,4.41%,64,1452
DICKINSON,19.60%,1609,73.43%,6029,6.97%,572,8210
DONIPHAN,17.38%,587,77.15%,2606,5.48%,185,3378
DOUGLAS,62.28%,31195,29.32%,14688,8.39%,4204,50087
EDWARDS,16.07%,212,78.62%,1037,5.31%,70,1319
ELK,12.71%,160,83.24%,1048,4.05%,51,1259
ELLIS,22.95%,2742,70.86%,8466,6.19%,739,11947
ELLSWORTH,19.45%,521,73.50%,1969,7.05%,189,2679
FINNEY,31.45%,3195,62.51%,6350,6.04%,614,10159
FORD,27.84%,2149,66.26%,5114,5.90%,455,7718
FRANKLIN,26.37%,2892,65.53%,7185,8.10%,888,10965
GEARY,36.27%,2722,56.96%,4274,6.77%,508,7504
GOVE,11.09%,149,84.88%,1140,4.02%,54,1343
GRAHAM,14.64%,188,79.83%,1025,5.53%,71,1284
GRANT,18.46%,441,75.51%,1804,6.03%,144,2389
GRAY,12.73%,263,82.19%,1698,5.08%,105,2066
GREELEY,12.77%,83,82.15%,534,5.08%,33,650
GREENWOOD,17.08%,485,76.06%,2160,6.87%,195,2840
HAMILTON,13.81%,121,80.48%,705,5.71%,50,876
HARPER,15.24%,393,77.42%,1996,7.33%,189,2578
