PARTY,PARTY.1,CANDIDATE,VOTES,%
,REPUBLICAN,DONALD TRUMP,1178638,58.10%
,DEMOCRATIC,HILLARY CLINTON,780154,38.40%
,LIBERTARIAN,GARY JOHNSON,37978,1.90%
,GREEN,JILL STEIN,14031,0.70%
,INDEPENDENT,EVAN MCMULLIN,8547,0.40%
,INDEPENDENT,DARRELL CASTLE,3129,0.20%
,WRITE-IN,OTHERS,2330,0.10%
,INDEPENDENT,CHRISTOPHER ROBERT KENISTON,1881,0.10%
,INDEPENDENT,LAURENCE KOTLIKOFF,1048,0.10%
,INDEPENDENT,ALYSON KENNEDY,480,0.00%
,INDEPENDENT,GLORIA LA RIVA,446,0.00%
,INDEPENDENT,JERRY WHITE,370,0.00%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,2029032,100.00%
