PARTY,PARTY.1,CANDIDATE,VOTES,%
,DEMOCRATIC,HILLARY CLINTON,357735,47.83%
,REPUBLICAN,DONALD TRUMP,335593,44.87%
,LIBERTARIAN,GARY JOHNSON,38105,5.09%
,GREEN,JILL STEIN,14251,1.91%
,INDEPENDENT,EVAN MCMULLIN (WRITE-IN),1887,0.25%
,CONSTITUTION,DARRELL CASTLE (WRITE-IN),333,0.04%
,INDEPENDENT,LAURENCE KOTLIKOFF (WRITE-IN),16,0.00%
,INDEPENDENT,CHERUNDA LYNN FOX (WRITE-IN),7,0.00%
INVALID OR BLANK VOTES,INVALID OR BLANK VOTES,INVALID OR BLANK VOTES,23965,3.10%[19]
MAJORITY,MAJORITY,MAJORITY,22142,2.96%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,771892,100.00%
TURNOUT,TURNOUT,TURNOUT,,72.53
,DEMOCRATIC WIN,DEMOCRATIC WIN,DEMOCRATIC WIN,DEMOCRATIC WIN
