2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN,2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN.1,2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN.2,2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN.3,2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN.4,2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN.5,2016 UNITED STATES PRESIDENTIAL ELECTION IN MICHIGAN.6
PARTY,PARTY.1,CANDIDATE,RUNNING MATE,VOTES,PERCENTAGE,ELECTORAL VOTES
,REPUBLICAN,DONALD TRUMP,MIKE PENCE,2279543,47.50%,16
,DEMOCRATIC,HILLARY CLINTON,TIM KAINE,2268839,47.27%,0
,LIBERTARIAN,GARY JOHNSON,WILLIAM WELD,172136,3.59%,0
,GREEN,JILL STEIN,AJAMU BARAKA,51463,1.07%,0
,CONSTITUTION,DARRELL CASTLE,SCOTT BRADLEY,16139,0.33%,0
,INDEPENDENT,EVAN MCMULLIN (WRITE-IN),MINDY FINN,8177,0.17%,0
,SOCIALIST,MIMI SOLTYSIK,ANGELA NICOLE WALKER,2209,0.05%,0
,-,OTHERS,-,778,0.02%,0
TOTALS,TOTALS,TOTALS,TOTALS,4799284,100.00%,16
