UNNAMED: 0_LEVEL_0,HILLARY,HILLARY,DONALD,DONALD,VARIOUS CANDIDATES OTHER PARTIES,VARIOUS CANDIDATES OTHER PARTIES.1,TOTAL
COUNTY,%,#,%,#,%,#,#
ADAIR,34.23%,3500,58.97%,6030,6.81%,696,10226
ANDREW,22.37%,2045,72.92%,6665,4.70%,430,9140
ATCHISON,19.82%,541,75.46%,2060,4.73%,129,2730
AUDRAIN,25.54%,2570,69.39%,6981,5.07%,510,10061
BARRY,18.56%,2710,78.25%,11428,3.20%,467,14605
BARTON,13.39%,795,83.50%,4959,3.12%,185,5939
BATES,20.15%,1618,74.72%,6001,5.13%,412,8031
BENTON,21.12%,2025,75.21%,7213,3.67%,352,9590
BOLLINGER,12.42%,705,85.04%,4827,2.54%,144,5676
BOONE,49.04%,41125,43.16%,36200,7.80%,6543,83868
BUCHANAN,33.69%,12013,59.79%,21320,6.52%,2326,35659
BUTLER,17.59%,3036,79.09%,13650,3.32%,573,17259
CALDWELL,19.43%,838,74.95%,3232,5.61%,242,4312
CALLAWAY,25.99%,4989,68.03%,13057,5.98%,1147,19193
CAMDEN,21.18%,4768,75.26%,16944,3.56%,802,22514
CAPE GIRARDEAU,22.93%,8492,72.94%,27017,4.13%,1529,37038
CARROLL,17.08%,745,79.80%,3480,3.12%,136,4361
CARTER,15.30%,436,81.54%,2324,3.16%,90,2850
CASS,29.12%,14846,64.91%,33098,5.97%,3046,50990
CEDAR,16.08%,1011,79.85%,5021,4.07%,256,6288
CHARITON,22.37%,888,74.33%,2950,3.30%,131,3969
CHRISTIAN,20.49%,8508,74.51%,30946,5.00%,2077,41531
CLARK,21.83%,724,74.13%,2458,4.04%,134,3316
CLAY,41.12%,45304,52.17%,57476,6.71%,7396,110176
CLINTON,25.20%,2572,69.23%,7067,5.57%,569,10208
COLE,29.20%,10913,65.86%,24616,4.94%,1845,37374
COOPER,24.19%,1932,70.42%,5624,5.38%,430,7986
CRAWFORD,18.39%,1824,77.86%,7724,3.75%,372,9920
DADE,16.12%,637,80.59%,3184,3.29%,130,3951
DALLAS,17.07%,1272,79.10%,5895,3.84%,286,7453
DAVIESS,19.53%,730,74.02%,2767,6.45%,241,3738
