PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,HILLARY CLINTON,2148278,55.45%,
,REPUBLICAN,DONALD TRUMP,1601933,41.35%,
,LIBERTARIAN,GARY JOHNSON,72477,1.87%,
,GREEN,JILL STEIN,37772,0.98%,
,CONSTITUTION,DARRELL CASTLE,6161,0.16%,
,SOCIALIST WORKERS,ALYSON KENNEDY,2156,0.06%,
,AMERICAN DELTA PARTY,ROCKY DE LA FUENTE,1838,0.05%,
,WORKERS WORLD,MONICA MOOREHEAD,1749,0.05%,
,SOCIALISM AND LIBERATION,GLORIA LA RIVA,1682,0.04%,
MAJORITY,MAJORITY,MAJORITY,546345,14.10%,
TURNOUT,TURNOUT,TURNOUT,3874046,,
