PARTY,PARTY.1,CANDIDATE,VOTES,%
,DEMOCRATIC,HILLARY CLINTON,178573,55.72%
,REPUBLICAN,DONALD TRUMP,95369,29.76%
,INDEPENDENT,BERNIE SANDERS (WRITE-IN),18218,5.68%
,LIBERTARIAN,GARY JOHNSON,10078,3.14%
,GREEN,JILL STEIN,6758,2.11%
,REFORM,ROCKY DE LA FUENTE,1063,0.33%
,REPUBLICAN,JOHN KASICH (WRITE-IN),831,0.26%
,INDEPENDENT,EVAN MCMULLIN (WRITE-IN),641,0.20%
,LIBERTY UNION,GLORIA LA RIVA,327,0.10%
,CONSTITUTION,DARRELL CASTLE (WRITE-IN),63,0.02%
,SOCIALIST,MIMI SOLTYSIK (WRITE-IN),3,<0.01%
,WRITE-IN,OTHER WRITE-IN,3143,1.00%
,,NO NAME/NONE OF THE ABOVE,257,0.09%
,,SPOILED/BLANK,5400,1.69%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,320467,100.00%
,DEMOCRATIC WIN,DEMOCRATIC WIN,DEMOCRATIC WIN,DEMOCRATIC WIN
