2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING,2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING.1,2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING.2,2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING.3,2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING.4,2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING.5,2016 UNITED STATES PRESIDENTIAL ELECTION IN WYOMING.6
PARTY,PARTY.1,CANDIDATE,RUNNING MATE,VOTES,PERCENTAGE,ELECTORAL VOTES
,REPUBLICAN,DONALD TRUMP,MIKE PENCE,174419,67.40%,3
,DEMOCRATIC,HILLARY CLINTON,TIM KAINE,55973,21.63%,0
,LIBERTARIAN,GARY JOHNSON,WILLIAM WELD,13287,5.13%,0
,WRITE-IN,VARIOUS CANDIDATES,VARIOUS CANDIDATES,6904,2.67%,0
,UNDER VOTE,NO CANDIDATE,NO CANDIDATE,2661,1.03%,0
,GREEN,JILL STEIN,AJAMU BARAKA,2515,0.97%,0
,CONSTITUTION,DARRELL CASTLE,SCOTT BRADLEY,2042,0.79%,0
,REFORM/ADP,ROCKY DE LA FUENTE,MICHEAL STEINBERG,709,0.27%,0
,OVER VOTE,VARIOUS CANDIDATES,VARIOUS CANDIDATES,278,0.11%,0
TOTALS,TOTALS,TOTALS,TOTALS,258788,100.00%,3
